Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
PYCARD	ENSG00000103490.13	61.25	10.87	2.391	2.01E-78
FAM111B	ENSG00000189057.10	5.66	0.27	2.391	1.67E-55
VNN1	ENSG00000112299.7	6.349	0.41	2.382	1.41E-22
FYB	ENSG00000082074.15	10.905	1.29	2.378	6.52E-65
SERPINA1	ENSG00000197249.12	189.709	35.799	2.374	3.34E-19
TMEM33	ENSG00000109133.12	34.895	5.93	2.373	3.94E-89
NKG7	ENSG00000105374.9	16.169	2.32	2.371	1.18E-38
XPR1	ENSG00000143324.13	14.2	1.94	2.37	2.42E-98
EXO1	ENSG00000174371.16	5.45	0.25	2.367	5.69E-101
PCNA	ENSG00000132646.10	121.89	22.86	2.365	1.96E-94
KRT80	ENSG00000167767.13	4.805	0.13	2.361	3.52E-39
VCAN	ENSG00000038427.15	32.625	5.55	2.36	1.08E-45
TRPM2-AS	ENSG00000230061.2	4.275	0.03	2.357	4.40E-50
SNORA22	ENSG00000206634.1	4.12	0	2.356	3.29E-09
BID	ENSG00000015475.18	38.795	6.78	2.355	2.40E-94
GTSE1	ENSG00000075218.18	7.535	0.67	2.354	2.75E-76
WDR72	ENSG00000166415.14	4.605	0.1	2.349	5.37E-41
RP11-478C6.4	ENSG00000250321.1	4.07	0	2.342	1.46E-10
CEMIP	ENSG00000103888.15	6.23	0.43	2.338	3.31E-50
MARCKSL1	ENSG00000175130.6	196.705	38.191	2.335	8.51E-90
HHLA2	ENSG00000114455.13	6.06	0.4	2.334	3.98E-13
TMPRSS3	ENSG00000160183.13	16.845	2.55	2.33	1.04E-30
KRT18	ENSG00000111057.10	778.956	154.235	2.329	1.26E-52
CD44	ENSG00000026508.16	177.336	34.501	2.329	9.93E-37
FPR3	ENSG00000187474.4	8.639	0.92	2.328	1.88E-55
KRT8	ENSG00000170421.11	1274.044	253.228	2.326	2.20E-44
HLA-DQB1	ENSG00000179344.16	62.539	11.67	2.326	6.16E-31
UBE2S	ENSG00000108106.13	55.97	10.38	2.324	1.28E-72
FANCA	ENSG00000187741.14	16.969	2.59	2.323	2.16E-76
CLSPN	ENSG00000092853.13	4.9	0.18	2.322	1.28E-106
IFI30	ENSG00000216490.3	248.869	49.08	2.319	9.85E-73
PABPC1	ENSG00000070756.13	1955.808	391.969	2.316	1.00E-84
IL4I1	ENSG00000104951.15	5.72	0.35	2.316	2.74E-79
SULF2	ENSG00000196562.14	73.95	14.05	2.316	3.26E-49
PARPBP	ENSG00000185480.11	7.255	0.66	2.314	2.41E-99
CENPN	ENSG00000166451.13	18.245	2.87	2.314	5.78E-92
ADAM10	ENSG00000137845.14	54.545	10.17	2.314	2.54E-69
SKA1	ENSG00000154839.9	4.815	0.17	2.313	1.04E-85
IGF2BP3	ENSG00000136231.13	4.715	0.15	2.313	6.26E-45
ABHD17C	ENSG00000136379.11	47.831	8.84	2.311	1.52E-63
CDC42EP5	ENSG00000167617.2	66.525	12.61	2.311	5.12E-27
CCNF	ENSG00000162063.12	7.385	0.7	2.302	1.46E-92
TYROBP	ENSG00000011600.11	133.301	26.241	2.302	2.69E-49
KLF16	ENSG00000129911.8	26.645	4.61	2.301	1.01E-78
DEPDC1	ENSG00000024526.16	4.71	0.16	2.299	1.12E-83
GUCY2C	ENSG00000070019.4	4.069	0.03	2.299	9.55E-28
DPP4	ENSG00000197635.9	8.195	0.87	2.298	8.13E-30
GINS2	ENSG00000131153.8	6.46	0.52	2.295	2.73E-76
HEPH	ENSG00000089472.16	19.06	3.09	2.294	8.72E-14
TMEM158	ENSG00000249992.1	7.405	0.72	2.289	1.22E-59
CDKN2A	ENSG00000147889.16	10.775	1.41	2.289	3.05E-32
PCSK9	ENSG00000169174.10	5.104	0.25	2.288	1.65E-31
STAT1	ENSG00000115415.18	89.924	17.689	2.282	2.56E-74
CDH11	ENSG00000140937.13	25.35	4.42	2.281	1.96E-42
CD68	ENSG00000129226.13	118.796	23.65	2.281	4.77E-41
IGKC	ENSG00000211592.6	5883.463	1210.342	2.28	6.45E-16
SOX4	ENSG00000124766.5	28.685	5.12	2.278	2.97E-89
KIF23	ENSG00000137807.13	11.314	1.54	2.277	6.97E-81
LAPTM4B	ENSG00000104341.16	93.584	18.51	2.277	4.55E-48
ETV7	ENSG00000010030.13	9.9	1.25	2.276	1.20E-53
CDCA2	ENSG00000184661.13	4.71	0.18	2.275	7.28E-87
LIPG	ENSG00000101670.11	8.599	0.99	2.27	8.93E-48
RP11-379F4.6	ENSG00000272440.1	3.81	0	2.266	6.34E-65
SLC39A4	ENSG00000147804.9	112.621	22.65	2.264	3.99E-47
APOBEC3B	ENSG00000179750.15	8.505	0.98	2.263	4.40E-44
HOXA13	ENSG00000106031.7	3.785	0	2.259	4.99E-46
MSX2	ENSG00000120149.8	6.165	0.5	2.256	6.48E-63
SIPA1L3	ENSG00000105738.10	26.135	4.69	2.254	7.03E-85
COL4A1	ENSG00000187498.14	89.068	17.89	2.253	2.83E-42
SPAG5	ENSG00000076382.16	16.745	2.73	2.25	5.07E-71
CNOT7	ENSG00000198791.11	67.538	13.44	2.247	9.42E-101
TACC3	ENSG00000013810.18	26.925	4.89	2.245	8.16E-77
ESPL1	ENSG00000135476.11	6.16	0.51	2.245	1.46E-47
CKAP2L	ENSG00000169607.12	4.635	0.19	2.243	5.32E-96
BRI3BP	ENSG00000184992.10	15.28	2.44	2.243	3.27E-87
RP11-284F21.10	ENSG00000272405.1	5.485	0.37	2.243	1.54E-46
LINC01207	ENSG00000248771.5	4.239	0.11	2.239	8.89E-25
LINC00152	ENSG00000222041.10	33.759	6.37	2.238	2.33E-80
CXCL11	ENSG00000169248.12	4.275	0.12	2.236	4.02E-47
TRAC	ENSG00000277734.4	36.564	6.99	2.233	4.15E-45
LACTB2	ENSG00000147592.8	36.581	7.01	2.23	3.19E-74
RP11-598P20.3	ENSG00000254198.1	7.675	0.85	2.229	8.07E-74
AIM1L	ENSG00000176092.13	5.325	0.35	2.228	3.54E-38
CENPK	ENSG00000123219.12	7.65	0.85	2.225	4.68E-90
DUXAP8	ENSG00000206195.10	5.4	0.37	2.224	3.15E-51
ELFN1-AS1	ENSG00000236081.1	4.6	0.2	2.222	1.26E-42
NCOA7	ENSG00000111912.18	48.895	9.71	2.22	2.31E-71
SLC2A1	ENSG00000117394.19	72.263	14.73	2.22	1.72E-41
KLK6	ENSG00000167755.13	3.845	0.04	2.22	5.10E-26
SNORD97	ENSG00000238622.1	3.65	0	2.217	7.48E-04
DHFR	ENSG00000228716.6	19.81	3.48	2.216	6.88E-92
ANPEP	ENSG00000166825.13	21.739	3.9	2.214	2.88E-17
FCHO1	ENSG00000130475.14	8.645	1.08	2.213	6.53E-74
SDC1	ENSG00000115884.10	96.128	19.99	2.21	1.24E-35
PRRX1	ENSG00000116132.11	9.81	1.34	2.208	1.06E-33
FXYD5	ENSG00000089327.14	214.249	45.809	2.201	1.42E-75
RCC2	ENSG00000179051.13	56.586	11.55	2.198	5.28E-101
FCGR2A	ENSG00000143226.13	29.635	5.68	2.197	1.83E-45
TRBC2	ENSG00000211772.8	38.934	7.71	2.197	4.96E-37
CCDC34	ENSG00000109881.16	14.805	2.45	2.196	9.72E-93
RACGAP1	ENSG00000161800.12	23.33	4.31	2.196	9.16E-75
BCL2A1	ENSG00000140379.7	7.385	0.83	2.196	8.64E-47
HCP5	ENSG00000206337.10	26.434	4.99	2.195	9.28E-53
PKP3	ENSG00000184363.9	65.014	13.42	2.195	7.86E-41
H2AFX	ENSG00000188486.3	58.72	12.06	2.193	3.15E-79
EPPK1	ENSG00000261150.2	9.38	1.27	2.193	4.97E-50
NCEH1	ENSG00000144959.9	16.12	2.75	2.191	3.20E-72
PLAU	ENSG00000122861.15	28.869	5.54	2.191	4.38E-50
IL2RB	ENSG00000100385.13	8.405	1.06	2.191	1.86E-49
GREM1	ENSG00000166923.10	56.676	11.66	2.188	3.69E-17
FGFR4	ENSG00000160867.14	29.699	5.75	2.185	1.01E-43
PVRL1	ENSG00000110400.10	16.955	2.95	2.184	6.55E-53
HLA-DMB	ENSG00000242574.8	48.16	9.85	2.18	1.94E-33
ACSL5	ENSG00000197142.10	53.059	10.93	2.18	4.33E-33
FAM83B	ENSG00000168143.8	5.65	0.47	2.178	1.59E-43
GPX2	ENSG00000176153.11	526.247	115.551	2.178	6.18E-31
ZNRF2P1	ENSG00000237004.3	4.915	0.31	2.175	9.35E-57
IFI27	ENSG00000165949.12	635.588	140.078	2.174	7.01E-28
LEF1	ENSG00000138795.9	9.46	1.32	2.173	1.08E-79
AHR	ENSG00000106546.12	42.654	8.71	2.169	3.61E-75
MYO5B	ENSG00000167306.18	35.335	7.09	2.167	1.47E-41
AGT	ENSG00000135744.7	14.485	2.45	2.166	3.54E-33
TPD52	ENSG00000076554.15	113.495	24.54	2.164	2.33E-58
APOL6	ENSG00000221963.5	16.67	2.95	2.161	1.27E-75
RP11-304L19.1	ENSG00000259933.6	8.825	1.2	2.159	5.69E-50
FAM60A	ENSG00000139146.13	42.045	8.65	2.157	7.93E-93
NDC1	ENSG00000058804.11	14.965	2.58	2.157	4.77E-90
ABHD11	ENSG00000106077.18	49.399	10.3	2.157	1.23E-82
POMK	ENSG00000185900.9	5.935	0.56	2.152	3.26E-73
F2RL2	ENSG00000164220.6	5.66	0.5	2.151	2.98E-53
HPDL	ENSG00000186603.5	7.705	0.96	2.151	2.68E-50
TRBV25-1	ENSG00000211751.7	19.06	3.52	2.15	7.16E-39
AC007969.5	ENSG00000233762.3	21.56	4.09	2.148	2.63E-54
EHF	ENSG00000135373.12	50.628	10.66	2.147	4.41E-36
ACE	ENSG00000159640.14	19.76	3.69	2.146	3.96E-41
FAM222B	ENSG00000173065.13	25.355	4.96	2.145	1.06E-82
SRD5A3	ENSG00000128039.10	31.909	6.44	2.145	3.78E-66
EFNA3	ENSG00000143590.13	7.56	0.94	2.142	1.14E-46
TRIM14	ENSG00000106785.14	21.64	4.14	2.139	4.87E-79
SLC52A3	ENSG00000101276.14	11.38	1.81	2.139	1.97E-59
FCGR1A	ENSG00000150337.13	7.7	0.98	2.136	3.01E-57
NR1I2	ENSG00000144852.16	3.83	0.1	2.134	5.80E-23
HSD17B2	ENSG00000086696.10	22.08	4.26	2.134	6.34E-20
NME1	ENSG00000239672.7	102.628	22.62	2.133	2.64E-83
FAR2	ENSG00000064763.10	11.795	1.92	2.131	3.10E-65
KRT8P3	ENSG00000254285.3	5.78	0.55	2.129	1.82E-41
ONECUT2	ENSG00000119547.5	3.46	0.02	2.128	9.77E-52
CORO2A	ENSG00000106789.12	12.685	2.13	2.128	5.30E-46
IGKV1-39	ENSG00000242371.1	8.75	1.23	2.128	4.33E-11
NEK6	ENSG00000119408.16	36.574	7.6	2.127	1.71E-77
PLEKHG6	ENSG00000008323.15	17.895	3.33	2.126	1.71E-42
TNFRSF11A	ENSG00000141655.15	6.9	0.81	2.126	2.21E-39
F5	ENSG00000198734.10	5.889	0.58	2.124	1.27E-31
EPHA2	ENSG00000142627.12	35.291	7.34	2.121	3.09E-36
ST14	ENSG00000149418.10	100.75	22.409	2.12	2.23E-55
LILRB4	ENSG00000186818.12	9.255	1.36	2.119	6.67E-50
GINS4	ENSG00000147536.11	5.295	0.45	2.118	1.30E-86
CD52	ENSG00000169442.8	50.927	10.97	2.117	1.81E-38
FDCSP	ENSG00000181617.5	3.855	0.12	2.116	1.07E-21
OVOL1	ENSG00000172818.9	6.665	0.77	2.115	8.16E-37
ENC1	ENSG00000171617.13	29.695	6.09	2.114	1.73E-68
CASC9	ENSG00000249395.2	3.63	0.07	2.113	1.95E-41
DBF4	ENSG00000006634.7	14.735	2.64	2.112	1.29E-98
KIF18A	ENSG00000121621.6	4.005	0.16	2.109	1.04E-96
GPR35	ENSG00000178623.11	28.489	5.84	2.108	1.33E-48
ATP11A	ENSG00000068650.18	22.965	4.57	2.105	5.15E-72
USH1C	ENSG00000006611.15	40.419	8.63	2.105	2.95E-38
IGKV4-1	ENSG00000211598.2	108.808	24.54	2.104	1.53E-13
RP11-229E13.4	ENSG00000274630.1	3.295	0	2.103	9.43E-07
NFE2L3	ENSG00000050344.8	25.43	5.18	2.097	3.03E-88
SNX8	ENSG00000106266.8	37.109	7.92	2.095	2.29E-88
TUBB3	ENSG00000258947.6	12.62	2.19	2.094	1.02E-36
AMN	ENSG00000166126.10	27.655	5.71	2.094	8.37E-27
RAC2	ENSG00000128340.14	43.296	9.38	2.093	2.71E-51
NKX6-3	ENSG00000165066.12	3.565	0.07	2.093	8.10E-16
PIGR	ENSG00000162896.5	156.405	36.011	2.088	1.29E-05
AIM1	ENSG00000112297.14	10.08	1.61	2.086	1.04E-31
LST1	ENSG00000204482.10	19.24	3.77	2.085	1.26E-52
HLA-DRB1	ENSG00000196126.10	184.681	42.771	2.085	1.87E-30
IGLC2	ENSG00000211677.2	1788.58	420.656	2.085	7.64E-15
FANCI	ENSG00000140525.17	15.06	2.79	2.083	1.53E-74
FAM64A	ENSG00000129195.15	5.225	0.47	2.082	6.01E-68
CEACAM7	ENSG00000007306.14	3.53	0.07	2.082	4.60E-19
MCM10	ENSG00000065328.16	3.95	0.17	2.081	4.66E-82
PTP4A1	ENSG00000112245.9	155.864	36.091	2.08	1.43E-45
FSCN1	ENSG00000075618.17	28.824	6.06	2.079	1.01E-51
CDCP1	ENSG00000163814.7	21.685	4.37	2.079	1.43E-45
AGR2	ENSG00000106541.11	976.854	231.167	2.074	7.54E-24
SNRPD1	ENSG00000167088.10	100.516	23.131	2.073	2.55E-94
ACOT7	ENSG00000097021.19	46.134	10.2	2.073	9.26E-58
KIF20B	ENSG00000138182.14	6.34	0.75	2.068	2.03E-114
CDC25C	ENSG00000158402.18	4.115	0.22	2.068	1.77E-82
SLC4A11	ENSG00000088836.12	5.835	0.63	2.068	2.41E-36
EIF2AK2	ENSG00000055332.16	19.11	3.8	2.067	2.30E-80
REEP6	ENSG00000115255.10	13.7	2.51	2.066	8.81E-27
MYO1E	ENSG00000157483.8	75.719	17.36	2.063	1.05E-81
MTFR2	ENSG00000146410.11	5.52	0.56	2.063	3.25E-81
PAPD7	ENSG00000282558.1	3.18	0	2.063	6.58E-39
ARL6IP1	ENSG00000170540.14	145.698	34.139	2.062	6.83E-84
PDZK1IP1	ENSG00000162366.7	109.136	25.389	2.061	9.62E-19
CD79A	ENSG00000105369.9	13.97	2.59	2.06	1.95E-12
GS1-184P14.2	ENSG00000225071.1	4.085	0.22	2.059	3.62E-54
SLC6A20	ENSG00000163817.15	4.375	0.29	2.059	1.89E-22
CKLF	ENSG00000217555.12	54.56	12.34	2.058	2.52E-84
SERPINH1	ENSG00000149257.13	107.925	25.23	2.054	9.06E-49
ADAMDEC1	ENSG00000134028.14	5.31	0.52	2.054	6.67E-39
HLA-DQB2	ENSG00000232629.8	5.015	0.45	2.053	6.61E-32
IGHV1-69-2	ENSG00000280411.1	33.139	7.24	2.051	1.55E-10
LSM12P1	ENSG00000232024.2	19.065	3.85	2.049	1.61E-46
ISLR	ENSG00000129009.12	43.364	9.73	2.048	4.92E-17
RECQL4	ENSG00000160957.12	13.5	2.51	2.046	4.54E-55
NOTCH3	ENSG00000074181.8	26.995	5.78	2.046	3.03E-46
IGFBP3	ENSG00000146674.14	96.288	22.561	2.046	3.79E-46
DUXAP9	ENSG00000225210.9	4.24	0.27	2.045	3.04E-49
B3GNT5	ENSG00000176597.11	15.375	2.97	2.044	9.34E-44
INCENP	ENSG00000149503.12	18.24	3.67	2.043	1.07E-76
MAL2	ENSG00000147676.13	135.232	32.079	2.042	1.34E-44
LAPTM5	ENSG00000162511.7	87.465	20.49	2.041	1.27E-44
ST6GAL1	ENSG00000073849.14	31.095	6.8	2.041	1.29E-42
SFN	ENSG00000175793.11	81.71	19.1	2.041	7.88E-20
RSC1A1	ENSG00000215695.1	3.105	0	2.037	2.22E-48
ORC6	ENSG00000091651.8	6.785	0.9	2.035	2.43E-76
CPVL	ENSG00000106066.13	26.885	5.81	2.034	1.76E-35
SCD	ENSG00000099194.5	42.804	9.7	2.033	2.07E-31
IGHGP	ENSG00000253755.1	4.115	0.25	2.033	2.59E-26
RHPN2	ENSG00000131941.7	34.215	7.61	2.032	9.43E-44
AC010761.10	ENSG00000265840.1	3.09	0	2.032	1.29E-25
TEAD4	ENSG00000197905.8	19.225	3.95	2.031	7.85E-69
SMC4	ENSG00000113810.15	40.415	9.16	2.027	2.11E-78
ANXA2P2	ENSG00000231991.4	12.45	2.3	2.027	1.18E-54
BST2	ENSG00000130303.12	133.111	31.93	2.026	2.58E-23
SAMD9	ENSG00000205413.7	8.73	1.39	2.025	2.22E-33
ANTXR1	ENSG00000169604.19	28.445	6.24	2.024	2.43E-28
PAICS	ENSG00000128050.8	46.449	10.71	2.019	1.05E-91
RSF1	ENSG00000048649.13	28.42	6.26	2.019	4.50E-83
CKS1B	ENSG00000173207.12	90.005	21.47	2.018	1.03E-82
COL6A3	ENSG00000163359.15	77.412	18.36	2.018	9.26E-19
FAM81A	ENSG00000157470.11	4.91	0.46	2.017	1.18E-70
SH3KBP1	ENSG00000147010.17	26.385	5.77	2.016	2.20E-88
ANXA2	ENSG00000182718.16	839.274	206.814	2.016	4.50E-45
TM4SF5	ENSG00000142484.6	22.255	4.75	2.016	2.45E-22
IL1RN	ENSG00000136689.18	30.525	6.8	2.015	4.48E-14
ANXA4	ENSG00000196975.14	179.562	43.73	2.013	1.37E-53
MCM5	ENSG00000100297.15	41.509	9.54	2.012	3.63E-76
LGALS3BP	ENSG00000108679.12	581.827	143.648	2.011	1.39E-57
PPAP2C	ENSG00000141934.9	79.406	18.989	2.008	3.10E-43
DSC2	ENSG00000134755.14	11.835	2.19	2.008	1.27E-14
TM4SF20	ENSG00000168955.3	3.1	0.02	2.007	7.21E-16
SHCBP1	ENSG00000171241.8	4.985	0.49	2.006	5.15E-85
SLAMF8	ENSG00000158714.10	8.19	1.29	2.005	6.71E-53
RFC3	ENSG00000133119.12	13.375	2.59	2.002	3.94E-93
PSMB2	ENSG00000126067.11	93.922	22.76	1.998	1.53E-110
PHC3	ENSG00000173889.15	24.53	5.39	1.998	9.72E-58
LDHA	ENSG00000134333.13	578.67	144.106	1.998	1.92E-53
NUDT4P1	ENSG00000177144.6	11.1	2.03	1.998	1.18E-46
NUDT4P2	ENSG00000271121.2	11.1	2.03	1.998	1.18E-46
LCP1	ENSG00000136167.13	34.15	7.8	1.998	1.75E-42
PIGU	ENSG00000101464.10	32.005	7.28	1.995	1.06E-104
OSBPL10	ENSG00000144645.13	14.59	2.91	1.995	4.23E-60
THEM6	ENSG00000130193.7	41.419	9.66	1.992	1.17E-71
CCL3	ENSG00000277632.1	7.385	1.11	1.991	4.99E-39
PDZD8	ENSG00000165650.11	21.53	4.68	1.988	6.30E-63
SEC62	ENSG00000008952.16	148.749	36.74	1.988	1.20E-60
FOXRED2	ENSG00000100350.14	13.09	2.56	1.985	1.27E-61
MFI2	ENSG00000163975.11	8.77	1.47	1.984	2.30E-45
EVPL	ENSG00000167880.7	12.955	2.53	1.983	1.10E-33
DDIAS	ENSG00000165490.12	3.74	0.2	1.982	3.53E-85
CARD11	ENSG00000198286.9	6.19	0.82	1.982	6.85E-40
CBLC	ENSG00000142273.10	33.561	7.76	1.98	1.91E-47
ITGA11	ENSG00000137809.16	6.535	0.91	1.98	2.80E-46
SERINC5	ENSG00000164300.15	19.384	4.17	1.979	1.23E-73
SKP2	ENSG00000145604.15	12.86	2.52	1.977	1.17E-73
IL18	ENSG00000150782.11	26.875	6.08	1.977	1.44E-35
MSR1	ENSG00000038945.14	8.355	1.38	1.975	5.39E-46
HS3ST1	ENSG00000002587.9	7.955	1.28	1.974	7.49E-36
RAET1E-AS1	ENSG00000268592.3	4.14	0.31	1.972	3.49E-59
CTD-2196E14.7	ENSG00000279618.1	7.515	1.17	1.972	2.91E-47
SERPINE2	ENSG00000135919.12	18.01	3.85	1.971	8.89E-27
LSR	ENSG00000105699.16	211.38	53.212	1.97	1.91E-60
CD4	ENSG00000010610.9	19.335	4.19	1.97	9.58E-45
PVT1	ENSG00000249859.7	24.245	5.45	1.969	8.43E-48
ATAD2	ENSG00000156802.12	13.1	2.61	1.966	2.68E-73
IFITM1	ENSG00000185885.15	276.78	70.112	1.966	1.24E-30
TMC7	ENSG00000170537.12	4.695	0.46	1.964	3.02E-68
CTSV	ENSG00000136943.10	7.27	1.12	1.964	2.39E-32
PDIA3	ENSG00000167004.12	479.653	122.267	1.963	1.09E-78
GPNMB	ENSG00000136235.15	48.505	11.7	1.963	1.70E-16
HLA-DOA	ENSG00000204252.12	7.92	1.29	1.962	1.23E-34
C6orf222	ENSG00000189325.6	5.895	0.77	1.962	2.80E-22
GZMB	ENSG00000100453.12	7.915	1.29	1.961	2.70E-30
FOXC1	ENSG00000054598.6	6.385	0.9	1.959	1.51E-42
TNFRSF12A	ENSG00000006327.13	65.99	16.23	1.959	2.75E-36
TMEM106B	ENSG00000106460.18	30.305	7.07	1.956	2.64E-78
ACTN4	ENSG00000130402.11	442.519	113.417	1.955	4.03E-60
ERO1L	ENSG00000197930.12	48.12	11.68	1.954	3.26E-45
FAT1	ENSG00000083857.13	77.683	19.32	1.953	3.91E-70
IGSF6	ENSG00000140749.8	5.505	0.68	1.953	2.50E-66
TMC5	ENSG00000103534.16	50.66	12.34	1.953	1.03E-32
LOXL2	ENSG00000134013.15	20.81	4.64	1.951	8.70E-49
HELZ2	ENSG00000130589.16	32.455	7.66	1.95	8.27E-65
DDAH1	ENSG00000153904.18	45.069	10.95	1.947	5.11E-76
C4orf48	ENSG00000243449.6	25.605	5.9	1.947	4.46E-45
EMB	ENSG00000170571.11	13.425	2.74	1.947	1.58E-36
C1QC	ENSG00000159189.11	130.16	33.011	1.947	3.04E-30
PAFAH1B3	ENSG00000079462.7	40.506	9.77	1.946	3.94E-81
HLA-DQA2	ENSG00000237541.3	5.28	0.63	1.946	6.80E-23
GALNT4	ENSG00000257594.3	16.37	3.51	1.945	3.61E-53
RP11-27M24.1	ENSG00000256013.1	2.85	0	1.945	4.53E-18
AGRN	ENSG00000188157.13	60.17	14.9	1.944	9.59E-64
LRFN4	ENSG00000173621.8	22.71	5.16	1.944	6.56E-62
PRRG4	ENSG00000135378.3	7.62	1.24	1.944	2.39E-54
FEN1	ENSG00000168496.3	18.995	4.2	1.943	1.44E-85
SGK223	ENSG00000275342.4	12.42	2.49	1.943	1.16E-77
EVI2B	ENSG00000185862.6	18.335	4.04	1.94	7.72E-32
CPXM1	ENSG00000088882.7	5.75	0.76	1.939	1.55E-52
SGPP2	ENSG00000163082.9	22.77	5.2	1.939	1.04E-36
IGKV3-15	ENSG00000244437.1	83.914	21.14	1.939	4.94E-12
RNASEH2A	ENSG00000104889.4	22.635	5.17	1.938	4.75E-80
MND1	ENSG00000121211.7	5.24	0.63	1.937	1.36E-81
TCF7	ENSG00000081059.19	15.464	3.3	1.937	1.05E-59
RHOF	ENSG00000139725.7	26.03	6.06	1.937	1.66E-22
PLK4	ENSG00000142731.10	5.735	0.76	1.936	8.63E-82
BHLHE41	ENSG00000123095.5	13.69	2.84	1.936	1.14E-28
PPDPF	ENSG00000125534.9	979.26	255.29	1.935	3.18E-55
PERP	ENSG00000112378.11	66.415	16.63	1.935	1.52E-35
NT5E	ENSG00000135318.11	16.195	3.5	1.934	2.04E-24
FUT2	ENSG00000176920.11	43.079	10.54	1.933	1.52E-30
RP3-523K23.2	ENSG00000261116.1	5.79	0.78	1.932	1.66E-46
SLC40A1	ENSG00000138449.10	67.787	17.05	1.93	1.78E-38
CENPW	ENSG00000203760.8	15.675	3.38	1.929	4.50E-70
PRDM1	ENSG00000057657.14	12.095	2.44	1.929	3.21E-28
SH2D2A	ENSG00000027869.11	8.96	1.62	1.927	3.60E-81
MTL5	ENSG00000132749.10	6.755	1.04	1.927	3.59E-68
CENPE	ENSG00000138778.11	3.975	0.31	1.925	5.67E-84
POLE2	ENSG00000100479.12	7.58	1.26	1.925	2.30E-83
BBOX1-AS1	ENSG00000254560.5	3.365	0.15	1.924	2.21E-49
KRT19	ENSG00000171345.13	650.903	170.768	1.924	2.37E-28
ESM1	ENSG00000164283.12	3.245	0.12	1.922	4.06E-67
RAD23B	ENSG00000119318.12	88.073	22.5	1.922	3.11E-64
CASK	ENSG00000147044.20	30.245	7.25	1.921	4.31E-86
ANP32E	ENSG00000143401.14	27.455	6.52	1.92	2.33E-78
GBP4	ENSG00000162654.8	14.63	3.13	1.92	2.09E-39
VCAM1	ENSG00000162692.10	10.04	1.92	1.919	2.49E-41
TMEM176A	ENSG00000002933.7	128.778	33.309	1.919	1.72E-38
SRPK1	ENSG00000096063.14	33.451	8.12	1.917	3.93E-91
EIF2AK1	ENSG00000086232.12	91.255	23.441	1.916	1.19E-96
UCP2	ENSG00000175567.8	101.286	26.11	1.916	2.39E-54
CYBB	ENSG00000165168.7	11.975	2.44	1.915	1.42E-39
ZBTB7A	ENSG00000178951.8	39.371	9.71	1.914	2.94E-50
TBL1XR1	ENSG00000177565.15	50.401	12.65	1.913	7.80E-71
GPSM2	ENSG00000121957.12	15.085	3.27	1.913	1.03E-59
MB21D1	ENSG00000164430.15	6.34	0.95	1.912	7.02E-95
FOXP3	ENSG00000049768.14	3.29	0.14	1.912	1.25E-82
RHNO1	ENSG00000171792.10	25.499	6.06	1.908	7.28E-93
NCAPD2	ENSG00000010292.12	33.221	8.12	1.908	3.46E-72
C1GALT1	ENSG00000106392.10	24.284	5.74	1.907	5.41E-62
RB1	ENSG00000139687.13	26.915	6.46	1.904	8.23E-51
KDM1B	ENSG00000165097.13	13.475	2.87	1.903	6.56E-75
E2F1	ENSG00000101412.12	9.88	1.91	1.903	1.66E-73
ITGB4	ENSG00000132470.13	163.908	43.2	1.9	2.04E-30
LPGAT1	ENSG00000123684.12	16.554	3.71	1.898	1.74E-64
SLC39A8	ENSG00000138821.12	8.245	1.48	1.898	2.62E-57
FAM49B	ENSG00000153310.18	50.509	12.83	1.897	4.41E-92
MAPK1IP1L	ENSG00000168175.14	77.339	20.031	1.897	4.15E-57
IGLC1	ENSG00000211675.2	712.032	190.546	1.896	3.62E-13
SLMO2	ENSG00000101166.15	58.58	15.02	1.895	3.55E-81
TP53	ENSG00000141510.15	42.16	10.62	1.893	3.00E-48
HLA-DPB1	ENSG00000223865.10	138.423	36.59	1.891	4.45E-33
SLAMF7	ENSG00000026751.16	8.235	1.49	1.891	8.34E-20
TMOD3	ENSG00000138594.12	26.531	6.43	1.89	7.07E-62
HLA-DMA	ENSG00000204257.14	81.939	21.37	1.89	1.28E-25
MTHFD1L	ENSG00000120254.15	13.7	2.97	1.889	5.22E-77
OTX1	ENSG00000115507.9	3.07	0.1	1.888	9.15E-79
H3F3AP4	ENSG00000235655.3	341.998	91.651	1.888	5.13E-48
RP11-463D19.2	ENSG00000258677.2	2.7	0	1.888	8.83E-36
IFI44L	ENSG00000137959.15	8.44	1.55	1.888	2.39E-25
NMT1	ENSG00000136448.11	102.429	26.96	1.887	1.61E-64
CYP2S1	ENSG00000167600.13	75.855	19.79	1.886	3.81E-26
IYD	ENSG00000009765.14	3.985	0.35	1.885	5.94E-32
EZH2	ENSG00000106462.10	11	2.25	1.884	3.28E-72
TWF1	ENSG00000151239.13	70.979	18.5	1.884	4.48E-71
SFXN1	ENSG00000164466.12	28.09	6.88	1.884	1.04E-63
IGHV3-30	ENSG00000270550.1	79.961	20.93	1.884	7.93E-09
ORC1	ENSG00000085840.12	3.755	0.29	1.882	5.56E-76
TRPM2	ENSG00000142185.16	7.73	1.37	1.881	1.29E-53
ARNTL2	ENSG00000029153.14	11.145	2.3	1.88	2.56E-45
TAP1	ENSG00000168394.10	72.428	18.97	1.879	3.23E-50
